Name,Fathers_name,Address,phone1,phone2,email,backlog,attendance,CGPA,skills,experience
Daniela,Comnick,7 Flowers Rd #403,609-200-8577,609-398-2805,dcomnick@cox.net,0,63,8.5,App development,3
Cecilia,Colaizzo,4 Nw 12th St #3849,608-382-4541,608-302-3387,cecilia_colaizzo@colaizzo.com,0,64,6,Web development,3
Leslie,Threets,2 A Kelley Dr,914-861-9748,914-396-2615,leslie@cox.net,0,65,7,App development,1
Nan,Koppinger,88827 Frankford Ave,336-370-5333,336-564-1492,nan@koppinger.com,0,67,6,Web development,2
Izetta,Dewar,2 W Scyene Rd #3,410-473-1708,410-522-7621,idewar@dewar.com,0,69,8,App development,3
Tegan,Arceo,62260 Park Stre,732-730-2692,732-705-6719,tegan.arceo@arceo.org,0,68,7,App development,2
Ruthann,Keener,3424 29th St Se,830-258-2769,830-919-5991,ruthann@hotmail.com,0,62,6.5,Web development,1
Joni,Breland,35 E Main St #43,847-519-5906,847-740-5304,joni_breland@cox.net,0,65,8,Cyber security,1
Vi,Rentfro,7163 W Clark Rd,732-605-4781,732-724-7251,vrentfro@cox.net,0,75,8.5,Cyber security,2
Colette,Kardas,21575 S Apple Creek Rd,402-896-5943,402-707-1602,colette.kardas@yahoo.com,0,75,7,Cyber security,3
Malcolm,Tromblay,747 Leonis Blvd,703-221-5602,703-874-4248,malcolm_tromblay@cox.net,0,74,7.5,Web development,3
Ryan,Harnos,13 Gunnison St,972-558-1665,972-961-4968,ryan@cox.net,0,73,6.5,App development,2
Jess,Chaffins,18 3rd Ave,212-510-4633,212-428-9538,jess.chaffins@chaffins.org,0,74,7.5,Cyber security,1
Sharen,Bourbon,62 W Austin St,516-816-1541,516-749-3188,sbourbon@yahoo.com,0,73,8,Cyber security,2
Nickolas,Juvera,177 S Rider Trl #52,352-598-8301,352-947-6152,nickolas_juvera@cox.net,0,74,8,Web development,3
Gary,Nunlee,2 W Mount Royal Ave,317-542-6023,317-887-8486,gary_nunlee@nunlee.org,1,73,8,Cyber security,1
Diane,Devreese,1953 Telegraph Rd,816-557-9673,816-329-5565,diane@cox.net,1,74,7.5,Web development,2
Roslyn,Chavous,63517 Dupont St,601-234-9632,601-973-5754,roslyn.chavous@chavous.org,1,75,6,Web development,3
Glory,Schieler,5 E Truman Rd,325-869-2649,325-740-3778,glory@yahoo.com,1,72,6.5,App development,3
Rasheeda,Sayaphon,251 Park Ave #979,408-805-4309,408-997-7490,rasheeda@aol.com,1,65,8.5,Cyber security,2
Alpha,Palaia,43496 Commercial Dr #29,856-312-2629,856-513-7024,alpha@yahoo.com,2,64,8.5,Cyber security,1
Refugia,Jacobos,2184 Worth St,510-974-8671,510-509-3496,refugia.jacobos@jacobos.com,2,62,6,Web development,1
Shawnda,Yori,50126 N Plankinton Ave,407-538-5106,407-564-8113,shawnda.yori@yahoo.com,2,61,6,App development,2
Mona,Delasancha,38773 Gravois Ave,307-403-1488,307-816-7115,mdelasancha@hotmail.com,2,63,8,Cyber security,3
Gilma,Liukko,16452 Greenwich St,516-393-9967,516-407-9573,gilma_liukko@gmail.com,2,61,8,Web development,3
Janey,Gabisi,40 Cambridge Ave,608-967-7194,608-586-6912,jgabisi@hotmail.com,2,65,7,Cyber security,2
Lili,Paskin,20113 4th Ave E,201-431-2989,201-478-8540,lili.paskin@cox.net,2,65,7,Web development,1
Loren,Asar,6 Ridgewood Center Dr,570-648-3035,570-569-2356,loren.asar@aol.com,1,62,8.5,App development,1
Dorothy,Chesterfield,469 Outwater Ln,858-617-7834,858-732-1884,dorothy@cox.net,2,64,7.5,App development,3
Gail,Similton,62 Monroe St,760-616-5388,760-493-9208,gail_similton@similton.com,2,64,7.5,Web development,3
Catalina,Tillotson,3338 A Lockport Pl #6,609-373-3332,609-826-4990,catalina@hotmail.com,1,63,6.5,App development,3
Lawrence,Lorens,9 Hwy,401-465-6432,401-893-1820,lawrence.lorens@hotmail.com,2,70,6,Cyber security,2
Carlee,Boulter,8284 Hart St,785-347-1805,785-253-7049,carlee.boulter@hotmail.com,2,71,6,Web development,1
Thaddeus,Ankeny,5 Washington St #1,916-920-3571,916-459-2433,tankeny@ankeny.org,1,72,6,Web development,2
Jovita,Oles,8 S Haven St,386-248-4118,386-208-6976,joles@gmail.com,1,73,6,Cyber security,3
Alesia,Hixenbaugh,9 Front St,202-646-7516,202-276-6826,alesia_hixenbaugh@hixenbaugh.org,1,74,7,Cyber security,3
Lai,Harabedian,1933 Packer Ave #2,415-423-3294,415-926-6089,lai@gmail.com,1,72,8,App development,3
Brittni,Gillaspie,67 Rv Cent,208-709-1235,208-206-9848,bgillaspie@gillaspie.com,1,71,7,Web development,2
Raylene,Kampa,2 Sw Nyberg Rd,574-499-1454,574-330-1884,rkampa@kampa.org,2,70,8,App development,1
Flo,Bookamer,89992 E 15th St,308-726-2182,308-250-6987,flo.bookamer@cox.net,1,69,7,Web development,3
Jani,Biddy,61556 W 20th Ave,206-711-6498,206-395-6284,jbiddy@yahoo.com,2,68,7,App development,2
Chauncey,Motley,63 E Aurora Dr,407-413-4842,407-557-8857,chauncey_motley@aol.com,0,67,6,App development,1
